brain_landmark_abbr,brain_hemisphere,brain_surface,landmark_x,landmark_y,landmark_z,origin,landmark_id
LF,midline,1,-4.999,-22.939,94.612,1,0
LF,midline,1,-4.732,-22.939,85.649,1,1
CS,right,1,-10.102,-21.939,94.187,0,2
CS,right,0,-9.558,-21.939,90.72,0,3
CS,right,1,-11.964,-20.939,93.549,0,4
CS,right,0,-10.532,-20.939,89.789,0,5
CS,right,1,-12.806,-19.939,93.215,0,6
CS,right,0,-11.526,-19.939,89.287,0,7
CS,right,1,-14.011,-18.939,93.107,0,8
CS,right,0,-13.06,-18.939,89.379,0,9
CS,right,1,-15.475,-17.939,92.837,0,10
CS,right,0,-15.423,-17.939,87.026,0,11
CS,right,1,-16.313,-16.939,92.489,0,12
CS,right,0,-15.695,-16.939,86.817,0,13
CS,right,1,-18.658,-15.939,91.69,0,14
CS,right,0,-16.499,-15.939,85.854,0,15
CS,right,1,-20.039,-14.939,91.314,0,16
CS,right,0,-16.985,-14.939,85.604,0,17
CS,right,1,-21.127,-13.939,90.828,0,18
CS,right,0,-17.585,-13.939,85.222,0,19
CS,right,1,-21.92,-12.939,90.366,0,20
CS,right,0,-19.483,-12.939,84.646,0,21
CS,right,1,-23.051,-11.939,89.756,0,22
CS,right,0,-22.006,-11.939,84.032,0,23
CS,right,1,-24.006,-10.939,88.873,0,24
CS,right,0,-23.525,-10.939,82.108,0,25
CS,right,1,-25.082,-9.939,88.072,0,26
CS,right,0,-24.475,-9.939,81.534,0,27
CS,right,1,-25.796,-8.939,87.3,0,28
CS,right,0,-25.226,-8.939,82.137,0,29
CS,right,1,-25.981,-7.939,87.027,0,30
CS,right,0,-26.265,-7.939,83.061,0,31
SPD,right,1,-13.888,-9.939,93.662,0,32
SPD,right,1,-13.888,-8.939,93.251,0,33
SPD,right,1,-13.497,-7.939,93.124,0,34
SAS,right,1,-21.277,-3.939,89.454,0,35
SAS,right,0,-18.925,-3.939,86.802,0,36
SAS,right,1,-21.545,-2.939,88.898,0,37
SAS,right,0,-18.743,-2.939,86.458,0,38
SAS,right,1,-21.565,-1.939,88.634,0,39
SAS,right,0,-16.777,-1.939,85.275,0,40
SAS,right,1,-19.65,-0.939,89.801,0,41
SAS,right,0,-15.349,-0.939,84.663,0,42
SAS,right,1,-18.673,0.061,90.375,0,43
SAS,right,0,-14.281,0.061,84.925,0,44
SAS,right,1,-18.396,1.061,90.611,0,45
SAS,right,0,-13.765,1.061,85.582,0,46
SAS,right,1,-17.411,2.061,90.904,0,47
SAS,right,0,-13.868,2.061,86.195,0,48
SAS,right,1,-16.769,3.061,91.279,0,49
SAS,right,0,-14.785,3.061,86.862,0,50
SAS,right,1,-16.022,4.061,91.725,0,51
SAS,right,0,-13.965,4.061,87.505,0,52
SAS,right,1,-15.519,5.061,91.971,0,53
SAS,right,0,-14.285,5.061,88.389,0,54
SAS,right,1,-15.411,6.061,91.939,0,55
SAS,right,0,-14.36,6.061,88.722,0,56
IAS,right,1,-21.565,-1.939,88.634,0,57
IAS,right,0,-16.777,-1.939,85.275,0,58
IAS,right,1,-24.419,-0.939,85.937,0,59
IAS,right,0,-18.431,-0.939,81.696,0,60
IAS,right,1,-25.874,0.061,84.607,0,61
IAS,right,0,-21.096,0.061,80.287,0,62
IAS,right,1,-26.662,1.061,83.147,0,63
IAS,right,0,-21.511,1.061,80.278,0,64
IAS,right,1,-27.321,2.061,82.182,0,65
IAS,right,0,-21.217,2.061,79.875,0,66
IAS,right,1,-27.948,3.061,81.247,0,67
IAS,right,0,-22.111,3.061,79.455,0,68
IAS,right,1,-27.825,4.061,79.689,0,69
IAS,right,0,-22.839,4.061,78.811,0,70
IAS,right,1,-28.203,5.061,79.261,0,71
IAS,right,0,-24.001,5.061,77.591,0,72
IAS,right,1,-29.043,6.061,77.53,0,73
IAS,right,0,-23.646,6.061,77.866,0,74
